Text,Label
"a completely honest , open-hearted film ",1
a hundred of them can be numbing ,0
fascinate in their recklessness ,1
is a film for the under-7 crowd ,0
takes its techniques into such fresh territory that the film never feels derivative ,1
a strangely stirring experience that finds warmth in the coldest environment and makes each crumb of emotional comfort ,1
a bitter taste ,0
's brilliant ` ,1
he can not overcome the sense that pumpkin is a mere plot pawn for two directors with far less endearing disabilities . ,0
intense political and psychological thriller ,1
a caper that 's neither original nor terribly funny ,0
proves to be a good match of the sensibilities of two directors ,1
"spreads itself too thin , ",0
of clean and sober ,1
( tsai 's ) masterpiece ,1
"irresistible , languid romanticism ",1
"everybody loves a david and goliath story , ",1
"evelyn may be based on a true and historically significant story , but the filmmakers have made every effort to disguise it as an unimaginative screenwriter 's invention ",0
the off-center humor ,1
engaging examination ,1
"of the whole slo-mo , double-pistoled , ballistic-pyrotechnic hong kong action aesthetic ",0
"wearing a cloak of unsentimental , straightforward text ",1
a better thriller ,1
"does n't have much panache , but with material this rich it does n't need it . ",1
"about this traditional thriller , moderately successful but not completely satisfying , is exactly how genteel and unsurprising the execution turns out to be . ",0
"it could be , by its art and heart , a necessary one . ",1
"the charm of the first movie is still there , and the story feels like the logical , unforced continuation of the careers of a pair of spy kids . ",1
"of the filmmakers who have directed him , especially the coen brothers and steven soderbergh ",1
", '' it 's equally distasteful to watch him sing the lyrics to `` tonight . '' ",0
a diverting enough hour-and-a-half for the family audience ,1
high art ,1
"his ( nelson 's ) screenplay needs some serious re-working to show more of the dilemma , rather than have his characters stage shouting ",0
throughout this funny film ,1
schaefer 's ... determination to inject farcical raunch ... drowns out the promise of the romantic angle . ,0
whipping out the dirty words ,0
"these characters are so well established that the gang feels comfortable with taking insane liberties and doing the goofiest stuff out of left field , and i 'm all for that . ",1
"relationships in such a straightforward , emotionally honest manner that by the end ",1
have that kind of impact on me these days ,1
saw worse stunt editing or cheaper action movie production values than in extreme ops ,0
it a party worth attending ,1
one adapted - from-television movie that actually looks as if it belongs on the big screen ,1
nature film and a tribute ,1
though flawed ,0
"but ... in trying to capture the novel 's deeper intimate resonances , the film has -- ironically - distanced us from the characters . ",0
"much meandering , norton has to recite bland police procedural details , fiennes wanders around in an attempt to seem weird and distanced , hopkins looks like a drag queen ",0
flabby ,0
"such a premise is ripe for all manner of lunacy , but kaufman and gondry rarely seem sure of where it should go ",0
powerful ,1
touching film ,1
"just about the best straight-up , ",1
dreadfully earnest inversion ,0
an in-depth portrait ,1
"a sad , soggy potboiler that wastes the talents of its attractive young leads ",0
b.s. ,0
"a more colorful , more playful tone than his other films ",1
leave them singing long after the credits roll ,1
too dry and ,0
